gene,feature,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
SRRM1,cnv,,,,,
CLIC4,mut,,,,,
CLIC4,cnv,,,,,
RUNX3,mut,,,,,
RUNX3,cnv,,,,,
MIR4425,mut,,,,,
MIR4425,cnv,,,,,
C1orf63,mut,,,,,
C1orf63,cnv,,,,,
RHCE,mut,,,,,
RHCE,cnv,,,,,
RHD,mut,,,,,
RHD,cnv,,,,,
SYF2,mut,,,,,
SYF2,cnv,,,,,
TMEM50A,mut,,,,,
TMEM50A,cnv,,,,,
TMEM57,mut,,,,,
TMEM57,cnv,,,,,
LDLRAP1,mut,,,,,
LDLRAP1,cnv,,,,,
MAN1C1,mut,,,,,
MAN1C1,cnv,,,,,
SEPN1,mut,,,,,
SEPN1,cnv,,,,,
MTFR1L,mut,,,,,
MTFR1L,cnv,,,,,
AUNIP,mut,,,,,
AUNIP,cnv,,,,,
PAQR7,mut,,,,,
PAQR7,cnv,,,,,
STMN1,mut,,,,,
STMN1,cnv,,,,,
MIR3917,mut,,,,,
MIR3917,cnv,,,,,
PAFAH2,mut,,,,,
PAFAH2,cnv,,,,,
EXTL1,mut,,,,,
EXTL1,cnv,,,,,
SLC30A2,mut,,,,,
SLC30A2,cnv,,,,,
TRIM63,mut,,,,,
TRIM63,cnv,,,,,
PDIK1L,mut,,,,,
PDIK1L,cnv,,,,,
FAM110D,mut,,,,,
FAM110D,cnv,,,,,
ZNF593,mut,,,,,
ZNF593,cnv,,,,,
CNKSR1,mut,,,,,
CNKSR1,cnv,,,,,
CATSPER4,mut,,,,,
CATSPER4,cnv,,,,,
CEP85,mut,,,,,
CEP85,cnv,,,,,
SH3BGRL3,mut,,,,,
SH3BGRL3,cnv,,,,,
UBXN11,mut,,,,,
UBXN11,cnv,,,,,
AIM1L,mut,,,,,
AIM1L,cnv,,,,,
CD52,mut,,,,,
CD52,cnv,,,,,
RN7SL490P,mut,,,,,
RN7SL490P,cnv,,,,,
ZNF683,mut,,,,,
ZNF683,cnv,,,,,
LIN28A,mut,,,,,
LIN28A,cnv,,,,,
DHDDS,mut,,,,,
DHDDS,cnv,,,,,
HMGN2,mut,,,,,
HMGN2,cnv,,,,,
RPS6KA1,mut,,,,,
RPS6KA1,cnv,,,,,
MIR1976,mut,,,,,
MIR1976,cnv,,,,,
RN7SL679P,mut,,,,,
RN7SL679P,cnv,,,,,
ARID1A,mut,,,,,
ARID1A,cnv,,,,,
RN7SL501P,mut,,,,,
RN7SL501P,cnv,,,,,
PIGV,mut,,,,,
PIGV,cnv,,,,,
RN7SL165P,mut,,,,,
RN7SL165P,cnv,,,,,
ZDHHC18,mut,,,,,
ZDHHC18,cnv,,,,,
SFN,mut,,,,,
SFN,cnv,,,,,
GPN2,mut,,,,,
GPN2,cnv,,,,,
GPATCH3,mut,,,,,
GPATCH3,cnv,,,,,
NUDC,mut,,,,,
NUDC,cnv,,,,,
NR0B2,mut,,,,,
NR0B2,cnv,,,,,
C1orf172,mut,,,,,
C1orf172,cnv,,,,,
TRNP1,mut,,,,,
TRNP1,cnv,,,,,
FAM46B,mut,,,,,
FAM46B,cnv,,,,,
SLC9A1,mut,,,,,
SLC9A1,cnv,,,,,
WDTC1,mut,,,,,
WDTC1,cnv,,,,,
TMEM222,mut,,,,,
TMEM222,cnv,,,,,
SYTL1,mut,,,,,
SYTL1,cnv,,,,,
MAP3K6,mut,,,,,
MAP3K6,cnv,,,,,
FCN3,mut,,,,,
FCN3,cnv,,,,,
CD164L2,mut,,,,,
CD164L2,cnv,,,,,
GPR3,mut,,,,,
GPR3,cnv,,,,,
WASF2,mut,,,,,
WASF2,cnv,,,,,
AHDC1,mut,,,,,
AHDC1,cnv,,,,,
