gene,feature,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
AGFG2,mut,,,,,
AGFG2,cnv,,,,,
AGGF1,mut,,,,,
AGGF1,cnv,,,,,
AGK,mut,,,,,
AGK,cnv,,,,,
AGL,mut,,,,,
AGL,cnv,,,,,
AGMAT,mut,,,,,
AGMAT,cnv,,,,,
AGMO,mut,,,,,
AGMO,cnv,,,,,
AGO1,mut,,,,,
AGO1,cnv,,,,,
AGO2,mut,,,,,
AGO2,cnv,,,,,
AGO3,mut,,,,,
AGO3,cnv,,,,,
AGO4,mut,,,,,
AGO4,cnv,,,,,
AGPAT1,mut,,,,,
AGPAT1,cnv,,,,,
AGPAT2,mut,,,,,
AGPAT2,cnv,,,,,
AGPAT3,mut,,,,,
AGPAT3,cnv,,,,,
AGPAT4,mut,,,,,
AGPAT4,cnv,,,,,
AGPAT5,mut,,,,,
AGPAT5,cnv,,,,,
AGPAT6,mut,,,,,
AGPAT6,cnv,,,,,
AGPAT9,mut,,,,,
AGPAT9,cnv,,,,,
AGPS,mut,,,,,
AGPS,cnv,,,,,
AGR2,mut,,,,,
AGR2,cnv,,,,,
AGR3,mut,,,,,
AGR3,cnv,,,,,
AGRN,mut,,,,,
AGRN,cnv,,,,,
AGRP,mut,,,,,
AGRP,cnv,,,,,
AGT,mut,,,,,
AGT,cnv,,,,,
AGTPBP1,mut,,,,,
AGTPBP1,cnv,,,,,
AGTR1,mut,,,,,
AGTR1,cnv,,,,,
AGTR2,mut,,,,,
AGTR2,cnv,,,,,
AGTRAP,mut,,,,,
AGTRAP,cnv,,,,,
AGXT,mut,,,,,
AGXT,cnv,,,,,
AGXT2,mut,,,,,
AGXT2,cnv,,,,,
AHCTF1,mut,,,,,
AHCTF1,cnv,,,,,
AHCY,mut,,,,,
AHCY,cnv,,,,,
AHCYL1,mut,,,,,
AHCYL1,cnv,,,,,
AHCYL2,mut,,,,,
AHCYL2,cnv,,,,,
AHDC1,mut,,,,,
AHDC1,cnv,,,,,
AHI1,mut,,,,,
AHI1,cnv,,,,,
AHNAK,mut,,,,,
AHNAK,cnv,,,,,
AHNAK2,mut,,,,,
AHNAK2,cnv,,,,,
AHR,mut,,,,,
AHR,cnv,,,,,
AHRR,mut,,,,,
AHRR,cnv,,,,,
AHSA1,mut,,,,,
AHSA1,cnv,,,,,
AHSA2,mut,,,,,
AHSA2,cnv,,,,,
AHSG,mut,,,,,
AHSG,cnv,,,,,
AHSP,mut,,,,,
AHSP,cnv,,,,,
AICDA,mut,,,,,
AICDA,cnv,,,,,
AIDA,mut,,,,,
AIDA,cnv,,,,,
AIF1,mut,,,,,
AIF1,cnv,,,,,
AIF1L,mut,,,,,
AIF1L,cnv,,,,,
AIFM1,mut,,,,,
AIFM1,cnv,,,,,
AIFM2,mut,,,,,
AIFM2,cnv,,,,,
AIFM3,mut,,,,,
AIFM3,cnv,,,,,
AIG1,mut,,,,,
AIG1,cnv,,,,,
AIM1,mut,,,,,
AIM1,cnv,,,,,
AIM1L,mut,,,,,
AIM1L,cnv,,,,,
AIM2,mut,,,,,
AIM2,cnv,,,,,
AIMP1,mut,,,,,
AIMP1,cnv,,,,,
AIMP2,mut,,,,,
AIMP2,cnv,,,,,
AIP,mut,,,,,
AIP,cnv,,,,,
AIPL1,mut,,,,,
AIPL1,cnv,,,,,
AIRE,mut,,,,,
AIRE,cnv,,,,,
AIRN,mut,,,,,
AIRN,cnv,,,,,
AJAP1,mut,,,,,
AJAP1,cnv,,,,,
