gene,feature,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
ALPPL2,mut,,,,,
ALPPL2,cnv,,,,,
ALS2,mut,,,,,
ALS2,cnv,,,,,
ALS2CL,mut,,,,,
ALS2CL,cnv,,,,,
ALS2CR11,mut,,,,,
ALS2CR11,cnv,,,,,
ALS2CR12,mut,,,,,
ALS2CR12,cnv,,,,,
ALX3,mut,,,,,
ALX3,cnv,,,,,
ALX4,mut,,,,,
ALX4,cnv,,,,,
AMACR,mut,,,,,
AMACR,cnv,,,,,
AMBN,mut,,,,,
AMBN,cnv,,,,,
AMBP,mut,,,,,
AMBP,cnv,,,,,
AMBRA1,mut,,,,,
AMBRA1,cnv,,,,,
AMD1,mut,,,,,
AMD1,cnv,,,,,
AMIGO1,mut,,,,,
AMIGO1,cnv,,,,,
AMIGO3,mut,,,,,
AMIGO3,cnv,,,,,
AMMECR1L,mut,,,,,
AMMECR1L,cnv,,,,,
AMOTL1,mut,,,,,
AMOTL1,cnv,,,,,
AMOTL2,mut,,,,,
AMOTL2,cnv,,,,,
AMPD1,mut,,,,,
AMPD1,cnv,,,,,
AMPD2,mut,,,,,
AMPD2,cnv,,,,,
AMPD3,mut,,,,,
AMPD3,cnv,,,,,
AMT,mut,,,,,
AMT,cnv,,,,,
AMTN,mut,,,,,
AMTN,cnv,,,,,
AMY2A,mut,,,,,
AMY2A,cnv,,,,,
AMY2B,mut,,,,,
AMY2B,cnv,,,,,
AMZ1,mut,,,,,
AMZ1,cnv,,,,,
ANAPC1,mut,,,,,
ANAPC1,cnv,,,,,
ANAPC2,mut,,,,,
ANAPC2,cnv,,,,,
ANAPC4,mut,,,,,
ANAPC4,cnv,,,,,
ANGEL2,mut,,,,,
ANGEL2,cnv,,,,,
ANGPT1,mut,,,,,
ANGPT1,cnv,,,,,
ANGPT2,mut,,,,,
ANGPT2,cnv,,,,,
ANGPTL2,mut,,,,,
ANGPTL2,cnv,,,,,
ANGPTL3,mut,,,,,
ANGPTL3,cnv,,,,,
ANGPTL5,mut,,,,,
ANGPTL5,cnv,,,,,
ANGPTL7,mut,,,,,
ANGPTL7,cnv,,,,,
ANK1,mut,,,,,
ANK1,cnv,,,,,
ANK2,mut,,,,,
ANK2,cnv,,,,,
